"R235"	"R236"	"R237"	"R239"	"R241"	"R242"	"R243"	"R245"	"R247"	"R248"	"R249"	"R250"
"ENSDARG00000000001"	81	90	81	125	136	83	168	325	162	102	115	122
"ENSDARG00000000002"	270	249	275	303	291	228	614	1040	440	356	273	323
"ENSDARG00000000018"	657	431	723	671	690	688	1706	3035	731	682	731	666
"ENSDARG00000000019"	2199	2291	2110	2665	2451	2047	4756	7885	2967	2892	2392	2943
"ENSDARG00000000068"	892	764	665	645	1093	625	984	1905	1446	1222	732	750
"ENSDARG00000000069"	1383	1159	1287	899	1488	1129	2423	3345	1888	1685	1426	1132
"ENSDARG00000000086"	1171	1070	1128	1252	1258	1139	2072	4374	1730	1473	1309	1577
"ENSDARG00000000103"	3305	2915	2872	3152	4214	3069	5832	11087	4457	3923	3289	3398
"ENSDARG00000000142"	160	140	147	160	160	150	335	478	143	184	125	148
"ENSDARG00000000151"	146	160	189	191	174	111	337	592	230	241	197	241
"ENSDARG00000000161"	336	355	363	370	437	298	687	1171	472	416	384	416
"ENSDARG00000000175"	118	136	136	152	168	137	317	570	218	159	174	165
"ENSDARG00000000183"	764	688	684	847	880	667	1533	2319	925	849	831	700
"ENSDARG00000000189"	1325	1086	1281	1434	1331	1233	2784	4654	1617	1509	1421	1291
"ENSDARG00000000212"	4697	3468	3387	3122	6184	3282	6246	8079	6922	5404	3888	3886
"ENSDARG00000000229"	632	565	623	705	755	566	1103	2288	779	708	508	608
"ENSDARG00000000241"	1643	1395	1508	1562	2390	1465	3571	4979	2337	2188	1956	1762
"ENSDARG00000000324"	430	378	522	468	595	381	957	1693	580	475	492	453
"ENSDARG00000000349"	8	15	22	14	21	15	34	47	27	22	15	18
"ENSDARG00000000369"	186	113	181	87	214	151	349	380	240	217	142	84
"ENSDARG00000000370"	1278	1056	1250	1377	1506	1126	2492	4514	1727	1472	1436	1300
"ENSDARG00000000380"	381	317	404	388	421	329	702	1042	441	459	367	303
"ENSDARG00000000394"	1766	1842	1664	2147	2198	1559	3630	7056	2374	2154	1886	2471
"ENSDARG00000000423"	68	73	92	53	100	58	147	229	81	81	71	49
"ENSDARG00000000442"	489	540	517	641	551	425	1051	2123	489	630	503	743
"ENSDARG00000000460"	4	1	3	3	1	0	7	6	2	0	2	0
"ENSDARG00000000472"	333	288	353	407	523	328	630	1254	521	446	386	501
"ENSDARG00000000474"	10	8	13	9	8	7	25	30	20	15	15	6
"ENSDARG00000000476"	90	79	63	96	133	87	181	331	128	96	89	68
"ENSDARG00000000489"	629	532	653	620	574	635	1488	2608	822	707	610	667
"ENSDARG00000000503"	7638	7425	6849	8157	8306	7128	15660	26185	9892	9078	7540	7823
"ENSDARG00000000516"	12	7	5	12	10	7	16	33	10	6	13	10
"ENSDARG00000000529"	165	126	132	157	166	117	316	603	215	173	136	171
"ENSDARG00000000540"	357	334	384	383	431	367	787	1150	487	437	389	307
"ENSDARG00000000542"	334	316	357	327	370	277	677	1065	395	369	320	278
"ENSDARG00000000551"	956	1012	996	1055	1323	781	1675	3325	1189	1047	1091	1271
"ENSDARG00000000563"	36841	32019	36406	38054	35943	34798	73856	111786	42372	38425	32505	42817
"ENSDARG00000000567"	639	542	617	660	576	637	1296	2316	725	712	594	748
"ENSDARG00000000568"	705	637	601	676	620	554	1271	1972	855	714	619	778
"ENSDARG00000000588"	89	94	99	117	97	90	212	446	75	122	127	113
"ENSDARG00000000606"	94	85	86	105	100	81	166	373	105	107	76	120
"ENSDARG00000000631"	868	765	821	890	826	762	1976	3025	869	939	853	935
"ENSDARG00000000638"	0	0	0	0	0	0	0	2	1	2	0	0
"ENSDARG00000000651"	27	37	23	35	52	37	84	105	42	43	33	19
"ENSDARG00000000656"	16	13	18	10	16	10	28	53	15	13	14	12
"ENSDARG00000000666"	908	757	932	1078	962	724	1793	3855	939	996	968	1189
"ENSDARG00000000690"	267	229	316	291	344	245	634	957	247	310	279	301
"ENSDARG00000000729"	369	390	386	382	496	373	841	1503	489	438	356	456
"ENSDARG00000000730"	286	237	295	315	373	273	664	1121	342	303	252	305
"ENSDARG00000000747"	51	62	47	43	73	50	102	187	80	69	47	49
"ENSDARG00000000760"	51	37	66	70	71	45	130	163	69	62	73	44
"ENSDARG00000000767"	40	53	74	66	70	43	136	273	75	81	81	93
"ENSDARG00000000779"	734	650	741	633	877	641	1322	2216	978	819	566	558
"ENSDARG00000000796"	832	516	651	1274	1447	567	1340	3562	818	580	504	1992
"ENSDARG00000000804"	187	175	222	231	222	177	541	926	227	222	231	189
"ENSDARG00000000830"	245	217	265	219	308	227	419	735	263	268	240	227
"ENSDARG00000000837"	375	368	400	445	515	345	899	1315	508	484	420	434
"ENSDARG00000000853"	1238	972	1044	1265	1512	883	1847	3781	1688	1263	1298	1416
"ENSDARG00000000857"	848	707	896	866	936	731	1537	2915	849	915	689	826
"ENSDARG00000000861"	3012	2609	2728	2865	3080	2644	5509	10248	3759	3347	2815	3200
"ENSDARG00000000887"	61	62	73	45	81	61	159	231	83	65	62	49
"ENSDARG00000000906"	59	67	87	92	84	74	167	261	105	97	76	87
"ENSDARG00000000935"	176	191	162	210	222	150	340	575	252	222	190	196
"ENSDARG00000000943"	323	373	359	502	463	273	703	1315	532	412	388	566
"ENSDARG00000000966"	3373	2687	2874	3158	3355	2912	6266	10377	4467	3591	3257	3215
"ENSDARG00000001014"	3870	3520	3188	3427	4693	3282	4873	12251	6078	4539	3531	4130
"ENSDARG00000001015"	953	1086	956	1297	1192	797	1811	3718	1135	1279	1091	1317
"ENSDARG00000001057"	1224	940	945	891	1503	861	1285	2997	1767	1293	823	862
"ENSDARG00000001127"	600	503	504	569	649	554	1083	1562	845	758	554	562
"ENSDARG00000001129"	1647	1455	1367	1772	1563	1460	2842	6016	1932	1825	1590	1876
"ENSDARG00000001154"	389	268	370	413	451	312	775	1166	641	512	567	441
"ENSDARG00000001162"	1054	1315	1439	1817	1612	1134	2665	6166	1577	1495	1402	2246
"ENSDARG00000001169"	151	123	223	114	227	144	330	383	207	152	170	108
"ENSDARG00000001210"	301	265	362	268	402	273	721	1070	403	396	326	253
"ENSDARG00000001220"	3220	2994	3001	3253	4184	2927	5867	10827	4539	3740	3188	2968
"ENSDARG00000001234"	179	154	186	177	245	142	398	527	244	206	196	162
"ENSDARG00000001241"	1696	1401	1791	1504	2061	1518	3414	5586	2350	1996	1803	1519
"ENSDARG00000001244"	3607	2853	3879	3270	3642	2926	6824	11867	4724	3902	4135	3881
"ENSDARG00000001249"	77	59	118	85	99	93	230	411	125	91	102	92
"ENSDARG00000001259"	34	49	58	27	61	42	61	106	72	56	38	22
"ENSDARG00000001303"	2	8	10	8	9	2	13	44	16	9	5	19
"ENSDARG00000001313"	236	279	265	266	235	263	592	841	254	278	287	239
"ENSDARG00000001354"	316	228	253	232	346	215	656	800	397	343	325	204
"ENSDARG00000001414"	93	113	139	145	134	103	216	565	141	132	127	151
"ENSDARG00000001431"	10609	8861	8068	7378	12335	9045	16859	22965	14406	13080	8211	9387
"ENSDARG00000001437"	356	494	416	381	624	410	1064	1462	635	430	644	434
"ENSDARG00000001442"	151	137	207	217	206	154	409	677	223	227	250	213
"ENSDARG00000001447"	279	258	305	315	295	301	637	1216	326	321	289	329
"ENSDARG00000001452"	80	69	102	159	90	100	209	493	120	97	99	233
"ENSDARG00000001463"	1145	999	1400	1335	1327	861	2700	4152	1186	1185	1449	1281
"ENSDARG00000001470"	182	209	317	257	293	228	444	902	217	221	236	195
"ENSDARG00000001498"	32	15	34	34	23	19	73	90	14	29	21	20
"ENSDARG00000001549"	223	167	143	179	157	136	229	485	205	165	120	190
"ENSDARG00000001557"	411	559	429	520	530	346	568	1466	469	486	224	628
"ENSDARG00000001558"	514	430	466	427	549	481	1215	1615	626	631	559	430
"ENSDARG00000001559"	439	330	373	499	392	422	962	1707	704	620	550	563
"ENSDARG00000001572"	2	4	2	1	1	0	5	0	1	3	1	0
"ENSDARG00000001578"	1664	1465	1714	1367	1923	1487	3476	4561	1852	1930	1709	1434
"ENSDARG00000001621"	188	195	234	247	337	184	447	789	227	206	261	336
"ENSDARG00000001634"	1243	1190	937	1226	1041	1102	2212	3251	1269	1302	1028	1194
"ENSDARG00000001656"	3	0	6	6	2	1	2	15	1	1	1	5
"ENSDARG00000001676"	1195	1035	883	1173	1353	1032	2121	3468	1493	1326	1014	1294
"ENSDARG00000001686"	108	64	103	96	107	77	224	285	140	116	119	82
"ENSDARG00000001710"	1970	1902	2126	2726	2176	1920	4977	8946	2054	2414	2442	2959
"ENSDARG00000001712"	40	31	37	52	43	46	100	173	61	43	54	85
"ENSDARG00000001721"	31	11	20	26	23	27	38	90	30	17	19	29
"ENSDARG00000001729"	1569	1420	1533	1658	1851	1309	2673	4687	1952	1834	1430	1605
"ENSDARG00000001733"	369	351	394	443	441	355	833	1402	390	441	449	433
"ENSDARG00000001734"	476	673	492	577	828	379	924	1653	597	623	534	663
"ENSDARG00000001754"	848	803	726	672	928	745	1407	2628	1085	987	711	590
"ENSDARG00000001760"	1517	1464	1544	1541	1451	1421	3051	4778	1564	1635	1213	1316
"ENSDARG00000001767"	218	234	217	199	273	200	736	777	231	263	211	143
"ENSDARG00000001769"	870	819	849	912	1009	766	1678	2825	1150	1027	786	926
"ENSDARG00000001771"	14	14	8	14	16	7	23	51	16	24	15	10
"ENSDARG00000001776"	105	124	111	110	90	108	190	404	179	130	98	149
"ENSDARG00000001777"	823	764	705	693	976	634	1058	2447	1154	974	712	678
"ENSDARG00000001781"	60	61	85	77	85	53	148	240	78	90	75	98
"ENSDARG00000001782"	105	104	121	119	145	111	264	440	120	127	158	134
"ENSDARG00000001785"	272	294	292	399	398	285	618	1214	436	373	313	335
"ENSDARG00000001788"	6336	4962	7568	5253	8859	5098	14305	16813	8310	6961	7208	5054
"ENSDARG00000001803"	209	153	200	150	173	188	356	630	243	204	193	205
"ENSDARG00000001804"	142	116	121	111	106	89	240	414	157	135	101	123
"ENSDARG00000001807"	525	467	431	571	532	433	969	1584	603	556	468	658
"ENSDARG00000001817"	30	11	18	14	27	22	31	53	52	35	32	40
"ENSDARG00000001818"	636	247	363	292	799	511	1274	1910	1067	718	463	415
"ENSDARG00000001825"	28	18	45	47	30	31	59	179	43	49	45	52
"ENSDARG00000001829"	1336	1185	1775	1841	1554	1193	3817	6415	1495	1695	1951	2094
"ENSDARG00000001835"	545	503	596	631	764	500	1314	1927	829	775	733	683
"ENSDARG00000001857"	781	695	592	790	740	622	1184	2293	1081	895	706	1059
"ENSDARG00000001859"	64	61	79	76	72	71	170	285	96	97	63	97
"ENSDARG00000001870"	4386	3678	3312	3024	7366	3413	6679	9815	7015	5778	3780	3883
"ENSDARG00000001873"	1284	1085	1582	1295	1623	1072	2298	4327	1513	1448	1277	1250
"ENSDARG00000001879"	684	517	517	596	687	513	1370	1942	730	726	670	618
"ENSDARG00000001880"	396	360	408	436	452	370	892	1380	448	446	437	398
"ENSDARG00000001881"	46	43	39	41	28	45	74	106	82	82	73	65
"ENSDARG00000001882"	493	409	546	686	704	503	1152	1722	658	669	672	769
"ENSDARG00000001888"	351	319	347	418	351	366	656	1150	511	442	349	393
"ENSDARG00000001889"	2796	2569	2914	2705	4148	2574	4791	8011	4461	3611	3051	2554
"ENSDARG00000001890"	2124	2006	1720	1545	2583	1906	2954	6063	3210	2608	1683	1708
"ENSDARG00000001891"	171	146	192	248	211	137	331	624	225	192	218	207
"ENSDARG00000001897"	569	472	517	512	810	457	1032	1917	756	670	543	597
"ENSDARG00000001898"	230	216	253	205	260	223	540	902	261	272	213	179
"ENSDARG00000001906"	38	34	36	35	25	36	75	113	25	39	25	29
"ENSDARG00000001909"	197	171	172	214	256	182	375	620	266	241	229	200
"ENSDARG00000001910"	2326	2101	2312	2692	2510	2190	5424	9103	2504	2484	2458	2297
